Date,Open,High,Low,Close,Adj Close,Volume
2022-01-26,71.436378,71.748634,68.735359,69.726776,69.427803,13626253
2022-01-27,70.257614,71.639343,68.750977,70.179550,69.878632,9997693
2022-01-28,69.711166,71.943794,69.359879,71.896957,71.588676,8299087
2022-01-31,71.514442,73.817329,71.061668,73.754883,73.438637,8969050
2022-02-01,74.160812,76.830605,73.965652,76.463699,76.135834,10439125
2022-02-02,76.245117,76.955505,75.066353,76.533958,76.205788,7124153
2022-02-03,75.839188,77.408272,75.370804,76.752541,76.423439,7959237
2022-02-04,76.268539,78.103043,76.221703,77.291176,76.959770,8203012
2022-02-07,77.572212,78.524590,76.893051,77.985947,77.651550,5618082
2022-02-08,78.048401,78.454330,76.994537,77.525368,77.192947,6607910
2022-02-09,78.259171,78.430916,77.377052,77.478531,77.146317,8485600
2022-02-10,76.807182,78.594849,76.502731,77.119438,76.788765,7062025
2022-02-11,77.298988,78.243561,75.074158,75.589386,75.265282,9550496
2022-02-14,75.495705,76.034348,74.597969,75.409836,75.086494,8916785
2022-02-15,76.494926,79.141296,76.463699,78.782204,78.444405,8572964
2022-02-16,78.134270,79.555038,77.978142,79.164719,78.825279,6265499
2022-02-17,78.337234,78.399689,76.409058,76.861824,76.532249,4971561
2022-02-18,76.830605,77.259956,71.756439,72.357536,72.047279,20040092
2022-02-22,72.318504,74.332550,72.107727,73.497269,73.182129,9856142
2022-02-23,73.216240,74.051521,72.060890,72.326309,72.016182,9449297
2022-02-24,70.718185,72.669792,68.462135,72.240440,71.930679,14593664
2022-02-25,72.919594,76.049957,72.646370,75.230286,74.907715,8931773
2022-02-28,73.973457,74.800934,73.481651,74.558937,74.239250,8094767
2022-03-01,74.129585,74.988289,71.717407,72.076500,71.767456,8624333
2022-03-02,72.958626,74.121780,72.661980,73.505074,73.189896,5691227
2022-03-03,74.113976,74.395004,71.803276,72.170181,71.860733,5921935
2022-03-04,70.429352,70.632317,68.321625,69.586258,69.287888,10810103
2022-03-07,69.219360,69.640907,66.580795,66.651054,66.424881,9120848
2022-03-08,67.939110,70.608902,66.783760,68.813431,68.579918,8783945
2022-03-09,71.397346,72.591728,71.116318,71.233414,70.991692,8295500
2022-03-10,68.516785,71.506638,68.266975,71.295860,71.053925,10395956
2022-03-11,72.443405,73.083527,71.553474,72.037468,71.793015,9052058
2022-03-14,72.162376,73.372368,71.772057,72.170181,71.925278,7741852
2022-03-15,72.794693,73.036690,71.241219,72.092117,71.847481,6536174
2022-03-16,72.966431,74.504295,72.396568,73.926620,73.675758,7146315
2022-03-17,73.536301,74.605774,72.841530,74.574554,74.321487,5572478
2022-03-18,74.621391,74.871193,73.817329,74.621391,74.368172,9475045
2022-03-21,73.731461,74.722870,73.106949,74.020294,73.769112,7022570
2022-03-22,74.348167,75.121002,73.848557,74.082748,73.831352,6169424
2022-03-23,73.832947,73.895393,72.997658,73.145981,72.897766,6268317
2022-03-24,73.684624,73.708038,73.106949,73.473846,73.224525,6832598
2022-03-25,73.723656,74.090553,72.919594,73.395782,73.146721,7364213
2022-03-28,73.067917,73.099144,70.819672,71.818893,71.575180,9632351
2022-03-29,72.615143,74.137390,72.615143,73.887589,73.636864,11009426
2022-03-30,73.083527,74.270103,72.833725,73.832947,73.582397,7216642
2022-03-31,73.185013,73.341141,71.405151,71.428574,71.186188,10537122
2022-04-01,71.896957,72.256050,71.124123,72.201408,71.956398,7226505
2022-04-04,71.959404,72.068695,70.960190,71.834503,71.590744,6583828
2022-04-05,71.553474,72.084312,70.187355,70.335678,70.097000,8609345
2022-04-06,69.765808,70.390320,68.555817,70.187355,69.949181,8424753
2022-04-07,70.117096,70.320061,67.985947,69.836067,69.599083,9091513
2022-04-08,69.859482,70.468384,69.180328,70.054642,69.816925,5146033
2022-04-11,69.898514,71.498833,69.500389,70.000000,69.762459,6907536
2022-04-12,70.257614,71.303673,69.711166,70.257614,70.019203,5778335
2022-04-13,70.382515,71.389542,70.249802,70.843094,70.602699,5077628
2022-04-14,71.069473,71.935989,70.749413,70.905540,70.664925,4905461
2022-04-18,71.014832,71.428574,70.179550,70.569870,70.330399,5021520
2022-04-19,70.882126,72.021858,70.882126,71.740829,71.497383,5901695
2022-04-20,72.209213,72.685402,71.233414,71.350510,71.108383,5127203
2022-04-21,72.560501,73.208427,71.373924,71.600311,71.357338,5766422
2022-04-22,70.952377,71.272446,69.461357,69.531616,69.295670,6358884
2022-04-25,69.086655,70.257614,67.587822,70.163933,69.925842,8843255
2022-04-26,66.315376,66.533958,61.209991,62.911789,62.698303,36835027
2022-04-27,62.451210,63.817329,60.788448,61.053864,60.846684,16131889
